1961	1	2
1961	2	0
1961	3	18
1961	4	49
1961	5	135
1961	6	1081
1961	7	857
1961	8	660
1961	9	286
1961	10	294
1961	11	4
1961	12	0
1962	1	7
1962	2	1
1962	3	2
1962	4	92
1962	5	210
1962	6	542
1962	7	285
1962	8	530
1962	9	472
1962	10	188
1962	11	0
1962	12	0
1963	1	0
1963	2	0
1963	3	25
1963	4	324
1963	5	317
1963	6	773
1963	7	950
1963	8	240
1963	9	168
1963	10	218
1963	11	0
1963	12	0
1964	1	0
1964	2	1
1964	3	50
1964	4	158
1964	5	133
1964	6	0
1964	7	412
1964	8	412
1964	9	387
1964	10	412
1964	11	63
1964	12	88
1965	1	0
1965	2	4
1965	3	83
1965	4	35
1965	5	239
1965	6	681
1965	7	549
1965	8	402
1965	9	263
1965	10	231
1965	11	8
1965	12	49
1966	1	0
1966	2	0
1966	3	34
1966	4	44
1966	5	183
1966	6	536
1966	7	503
1966	8	287
1966	9	216
1966	10	221
1966	11	25
1966	12	110
1969	1	0
1969	2	0
1969	3	47
1969	4	194
1969	5	657
1969	6	0
1969	7	329
1969	8	740
1969	9	326
1969	10	50
1969	11	41
1969	12	0
1970	1	6
1970	2	54
1970	3	15
1970	4	38
1970	5	111
1970	6	274
1970	7	1276
1970	8	326
1970	9	200
1970	10	155
1970	11	109
1970	12	0
1971	1	5
1971	2	0
1971	3	0
1971	4	103
1971	5	133
1971	6	693
1971	7	399
1971	8	507
1971	9	164
1971	10	72
1971	11	41
1971	12	1
1972	1	0
1972	2	2
1972	3	0
1972	4	37
1972	5	105
1972	6	450
1972	7	315
1972	8	309
1972	9	100
1972	10	53
1972	11	4
1972	12	0
1973	1	0
1973	2	0
1973	3	35
1973	4	181
1973	5	377
1973	6	453
1973	7	608
1973	8	481
1973	9	133
1973	10	138
1973	11	126
1973	12	2
1974	1	1
1974	2	0
1974	3	0
1974	4	0
1974	5	0
1974	6	441
1974	7	489
1974	8	317
1974	9	401
1974	10	252
1974	11	23
1974	12	0
1975	1	0
1975	2	0
1975	3	6
1975	4	183
1975	5	108
1975	6	508
1975	7	649
1975	8	262
1975	9	0
1975	10	195
1975	11	115
1975	12	0
1976	1	0
1976	2	0
1976	3	0
1976	4	123
1976	5	181
1976	6	874
1976	7	783
1976	8	377
1976	9	389
1976	10	160
1976	11	143
1976	12	0
1977	1	20
1977	2	29
1977	3	0
1977	4	389
1977	5	250
1977	6	502
